LA.Code,LA.Name,Patient.Count,Patient.Count.QCOVID,Shielders_pct,Shielders_from_QCOVID_pct,decile_imd,quintile_imd,decile_income,quintile_income,RGN19NM,pop19,before_after
E06000056,Central Bedfordshire,12820,,4.44139574845487,,9,5,8,4,East of England,288648,before
E07000091,New Forest,7995,,4.43954555045922,,8,4,8,4,South East,180086,before
E07000173,Gedling,5230,,4.43611318450159,,7,4,6,3,East Midlands,117896,before
E07000167,Ryedale,2450,,4.42397977609245,,7,4,8,4,Yorkshire and The Humber,55380,before
E06000021,Stoke-on-Trent,11325,,4.41735738664066,,1,1,1,1,West Midlands,256375,before
E07000145,Great Yarmouth,4385,,4.41431102520738,,1,1,1,1,East of England,99336,before
E06000010,"Kingston upon Hull, City of",11435,,4.40183541331445,,1,1,1,1,Yorkshire and The Humber,259778,before
E07000088,Gosport,3730,,4.39661472453382,,5,3,6,3,South East,84838,before
E07000030,Eden,2335,,4.38472949880758,,6,3,9,5,North West,53253,before
E07000066,Basildon,8205,,4.38303623416792,,4,2,3,2,East of England,187199,before
E07000245,West Suffolk,7830,,4.37320226758636,,6,3,8,4,East of England,179045,before
E07000136,Boston,3065,,4.36777678024311,,4,2,4,2,East Midlands,70173,before
E07000085,East Hampshire,5330,,4.35785067207378,,9,5,10,5,South East,122308,before
E08000008,Tameside,9860,,4.35333542316981,,1,1,2,1,North West,226493,before
E07000033,Bolsover,3500,,4.34448002780467,,3,2,3,2,East Midlands,80562,before
E08000010,Wigan,14265,,4.34032531902076,,3,2,3,2,North West,328662,before
E07000174,Mansfield,4740,,4.33617227594156,,2,1,2,1,East Midlands,109313,before
E06000011,East Riding of Yorkshire,14785,,4.333578565713,,7,4,7,4,Yorkshire and The Humber,341173,before
E08000018,Rotherham,11480,,4.32536707220123,,2,1,2,1,Yorkshire and The Humber,265411,before
E07000117,Burnley,3845,,4.32411156095367,,1,1,1,1,North West,88920,before
E07000063,Lewes,4465,,4.32370143703761,,7,4,6,3,South East,103268,before
E07000194,Lichfield,4470,,4.26705868876246,,8,4,8,4,West Midlands,104756,before
E07000080,Forest of Dean,3695,,4.25735387309744,,6,3,6,3,South West,86791,before
E07000011,Huntingdonshire,7570,,4.25369318341453,,8,4,8,4,East of England,177963,before
E07000168,Scarborough,4620,,4.24800242742996,,3,2,3,2,Yorkshire and The Humber,108757,before
E06000012,North East Lincolnshire,6770,,4.24283825197571,,1,1,1,1,Yorkshire and The Humber,159563,before
E07000026,Allerdale,4140,,4.23481756528677,,4,2,5,3,North West,97761,before
E07000149,South Norfolk,5955,,4.22700170357751,,8,4,8,4,East of England,140880,before
E07000040,East Devon,6175,,4.22124087391649,,8,4,8,4,South West,146284,before
E07000012,South Cambridgeshire,6710,,4.21784443634261,,10,5,10,5,East of England,159086,before
E08000004,Oldham,10000,,4.21745181561301,,1,1,1,1,North West,237110,before
E07000081,Gloucester,5440,,4.21287404745679,,4,2,4,2,South West,129128,before
E06000050,Cheshire West and Chester,14445,,4.21049870143498,,6,3,5,3,North West,343071,before
E07000150,Corby,3040,,4.20947686172422,,3,2,4,2,East Midlands,72218,before
E09000004,Bexley,10445,,4.20682516603769,,6,3,6,3,London,248287,before
E07000221,Stratford-on-Avon,5460,,4.19683623114883,,9,5,9,5,West Midlands,130098,before
E07000089,Hart,4070,,4.19272094197151,,10,5,10,5,South East,97073,before
