LA.Code,LA.Name,decile_imd,quintile_imd,decile_income,quintile_income,RGN19NM,pop19,Patient.Count_before,Patient.Count_after,Patient.Count.QCOVID_before,Patient.Count.QCOVID_after,Shielders_pct_before,Shielders_pct_after,Shielders_from_QCOVID_pct_before,Shielders_from_QCOVID_pct_after,Patient.Count_diff,Shielders_pct_diff
E08000023,South Tyneside,1,1,1,1,North East,150976,7315,11745,,4415,4.8451409495549,7.77938215345485,,37.5904640272456,4430,2.93424120389996
E08000015,Wirral,2,1,2,1,North West,324011,15695,23695,,7900,4.84397134665181,7.31302332328224,,33.3403671660688,8000,2.46905197663042
E09000017,Hillingdon,5,3,5,3,London,306870,14845,24565,,9645,4.83755336135823,8.00501841170528,,39.263179320171,9720,3.16746505034705
E07000045,Teignbridge,7,4,6,3,South West,134163,6460,9370,,2795,4.81503842341033,6.98404179990012,,29.82924226254,2910,2.16900337648979
E07000137,East Lindsey,2,1,2,1,East Midlands,141727,6820,11780,,4810,4.81206827210059,8.31175428817374,,40.8319185059423,4960,3.49968601607315
E08000037,Gateshead,2,1,2,1,North East,202055,9720,14465,,4745,4.81057137907995,7.1589418722625,,32.8033183546492,4745,2.34837049318255
E07000146,King's Lynn and West Norfolk,3,2,5,3,East of England,151383,7240,11220,,3835,4.78257135873909,7.41166445373655,,34.1800356506239,3980,2.62909309499746
E07000141,South Kesteven,8,4,7,4,East Midlands,142424,6805,9505,,2610,4.77798685614784,6.67373476380385,,27.4592319831668,2700,1.89574790765601
E07000010,Fenland,3,2,3,2,East of England,101850,4860,7790,,2840,4.77172312223859,7.64850270004909,,36.4569961489089,2930,2.87677957781051
E07000074,Maldon,7,4,7,4,East of England,64926,3095,4275,,1120,4.76696546837939,6.58441918491822,,26.1988304093567,1180,1.81745371653883
E08000032,Bradford,1,1,1,1,Yorkshire and The Humber,539776,25700,45135,,19605,4.76123428977946,8.36180193265355,,43.436357593885,19435,3.60056764287408
E07000090,Havant,4,2,4,2,South East,126220,5980,9295,,3250,4.73775946759626,7.36412612898114,,34.965034965035,3315,2.62636666138488
E07000139,North Kesteven,9,5,8,4,East Midlands,116915,5515,7605,,2075,4.71710216824189,6.50472565539067,,27.284681130835,2090,1.78762348714878
E06000003,Redcar and Cleveland,2,1,1,1,North East,137150,6465,10270,,3705,4.71381698869851,7.48815165876777,,36.0759493670886,3805,2.77433467006927
E08000022,North Tyneside,4,2,3,2,North East,207913,9760,14600,,4760,4.69427116149543,7.02216792600751,,32.6027397260274,4840,2.32789676451208
E08000035,Leeds,2,1,3,2,Yorkshire and The Humber,793139,37195,55110,,17400,4.68959413167175,6.94834070698831,,31.5732172019597,17915,2.25874657531656
E07000203,Mid Suffolk,8,4,9,5,East of England,103895,4865,6715,,1775,4.68261225275519,6.46325617209683,,26.4333581533879,1850,1.78064391934164
E06000004,Stockton-on-Tees,3,2,2,1,North East,197348,9210,13830,,4550,4.66688286681395,7.00792508664897,,32.8994938539407,4620,2.34104221983501
E06000052+E06000053,Cornwall and Isles of Scilly,,,,,South West,571802,26680,37270,,13290,4.66595080115145,6.51799049321269,,35.6587067346391,10590,1.85203969206124
E06000032,Luton,3,2,3,2,East of England,213052,9930,19270,,9255,4.66083397480427,9.04474025120628,,48.0280228334198,9340,4.38390627640201
E07000046,Torridge,4,2,5,3,South West,68267,3135,4905,,1720,4.59226273309212,7.18502351062739,,35.0662589194699,1770,2.59276077753527
E07000225,Chichester,8,4,8,4,South East,121129,5550,8750,,3140,4.58189203246126,7.22370365478127,,35.8857142857143,3200,2.64181162232001
E06000027,Torbay,2,1,2,1,South West,136264,6230,10375,,4095,4.57200727998591,7.61389655374861,,39.4698795180723,4145,3.0418892737627
E07000069,Castle Point,6,3,6,3,East of England,90376,4130,6075,,1885,4.56979729131628,6.72191732318315,,31.0288065843621,1945,2.15212003186687
E08000006,Salford,1,1,1,1,North West,258834,11745,18340,,6460,4.53765734022578,7.08562244527381,,35.2235550708833,6595,2.54796510504802
E09000013,Hammersmith and Fulham,4,2,3,2,London,185143,8400,14640,,6145,4.53703353623956,7.90740130601751,,41.974043715847,6240,3.37036776977796
E07000200,Babergh,7,4,8,4,East of England,92036,4175,6110,,1890,4.53626841670651,6.63870659307228,,30.9328968903437,1935,2.10243817636577
E07000189,South Somerset,6,3,7,4,South West,168345,7635,11200,,3515,4.5353292346075,6.65300424723039,,31.3839285714286,3565,2.11767501262289
E08000024,Sunderland,2,1,1,1,North East,277705,12555,20590,,7915,4.52098449793846,7.41434255775013,,38.4409907722195,8035,2.89335805981167
E07000047,West Devon,6,3,6,3,South West,55796,2510,3765,,1240,4.49853036059933,6.74779554089899,,32.9349269588313,1255,2.24926518029966
E07000029,Copeland,3,2,4,2,North West,68183,3065,4845,,1710,4.4952554155728,7.10587683146826,,35.2941176470588,1780,2.61062141589546
E07000170,Ashfield,3,2,3,2,East Midlands,127918,5740,9305,,3505,4.48724964430338,7.27419127878797,,37.6679204728641,3565,2.78694163448459
E09000015,Harrow,7,4,5,3,London,251160,11270,21750,,10405,4.48717948717949,8.65981844242714,,47.8390804597701,10480,4.17263895524765
E07000218,North Warwickshire,6,3,6,3,West Midlands,65264,2925,4290,,1325,4.48179700907085,6.57330227997058,,30.8857808857809,1365,2.09150527089973
E07000202,Ipswich,3,2,3,2,East of England,136913,6120,10255,,4110,4.46999189266176,7.49015798353699,,40.0780107264749,4135,3.02016609087523
E07000127,West Lancashire,5,3,4,2,North West,114306,5095,7460,,2270,4.45733382324637,6.52634157437055,,30.4289544235925,2365,2.06900775112417
E07000043,North Devon,5,3,5,3,South West,97145,4320,7500,,3090,4.44696072880745,7.72041793195738,,41.2,3180,3.27345720314993
E07000193,East Staffordshire,5,3,6,3,West Midlands,119754,5325,8240,,2835,4.4466155619019,6.88077224977871,,34.4053398058252,2915,2.43415668787682
E06000056,Central Bedfordshire,9,5,8,4,East of England,288648,12820,17150,,4695,4.44139574845487,5.94149275241817,,27.3760932944606,4330,1.50009700396331
E07000091,New Forest,8,4,8,4,South East,180086,7995,12290,,4230,4.43954555045922,6.82451717512744,,34.4182262001627,4295,2.38497162466822
E07000173,Gedling,7,4,6,3,East Midlands,117896,5230,7745,,2405,4.43611318450159,6.56934925697225,,31.052291801162,2515,2.13323607247065
